b001,t28,p27,Approved,2025-07-02,credit_card
b002,t20,p94,Cancelled,2025-06-27,fpx
b003,t9,p100,Cancelled,2025-06-30,fpx
b004,t13,p67,Pending,2025-06-25,credit_card
b005,t28,p77,Cancelled,2025-06-07,fpx
b006,t24,p10,Pending,2025-06-18,credit_card
b007,t22,p40,Pending,2025-06-19,fpx
b008,t50,p2,Cancelled,2025-06-21,credit_card
b009,t21,p20,Pending,2025-06-26,fpx
b010,t6,p43,Pending,2025-06-17,credit_card
b011,t17,p23,Cancelled,2025-07-04,fpx
b012,t33,p36,Cancelled,2025-06-09,credit_card
b013,t15,p29,Rejected,2025-06-14,fpx
b014,t17,p56,Approved,2025-06-18,credit_card
b015,t32,p29,Rejected,2025-06-09,credit_card
b016,t1,p26,Approved,2025-06-13,credit_card
b017,t39,p93,Approved,2025-07-03,credit_card
b018,t26,p69,Rejected,2025-06-09,fpx
b019,t48,p81,Approved,2025-07-04,credit_card
b020,t22,p12,Approved,2025-06-26,credit_card
b021,t44,p60,Rejected,2025-07-04,fpx
b022,t18,p14,Rejected,2025-06-15,credit_card
b023,t18,p97,Approved,2025-06-20,credit_card
b024,t49,p80,Pending,2025-06-17,fpx
b025,t2,p27,Pending,2025-06-07,fpx
b026,t29,p94,Rejected,2025-06-18,fpx
b027,t15,p100,Rejected,2025-06-06,credit_card
b028,t17,p11,Rejected,2025-07-05,credit_card
b029,t36,p11,Cancelled,2025-06-25,fpx
b030,t2,p92,Approved,2025-06-29,fpx
b031,t48,p22,Cancelled,2025-07-03,credit_card
b032,t14,p44,Rejected,2025-07-01,fpx
b033,t21,p51,Pending,2025-06-25,fpx
b034,t1,p84,Pending,2025-06-09,credit_card
b035,t20,p42,Rejected,2025-06-19,credit_card
b036,t13,p4,Cancelled,2025-06-10,credit_card
b037,t3,p48,Approved,2025-07-04,credit_card
b038,t48,p73,Pending,2025-06-14,fpx
b039,t43,p90,Rejected,2025-06-17,fpx
b040,t7,p100,Approved,2025-06-16,fpx
b041,t50,p69,Rejected,2025-06-07,fpx
b042,t23,p63,Cancelled,2025-06-13,fpx
b043,t24,p21,Pending,2025-06-08,fpx
b044,t20,p56,Pending,2025-07-04,credit_card
b045,t14,p43,Rejected,2025-06-25,credit_card
b046,t17,p49,Cancelled,2025-06-15,credit_card
b047,t34,p18,Cancelled,2025-06-07,credit_card
b048,t6,p52,Approved,2025-06-25,credit_card
b049,t4,p8,Pending,2025-06-23,fpx
b050,t1,p5,Approved,2025-07-05,credit_card
b051,t9,p82,Cancelled,2025-06-07,fpx
b052,t17,p65,Cancelled,2025-06-10,credit_card
b053,t23,p64,Pending,2025-06-14,credit_card
b054,t46,p49,Approved,2025-07-05,credit_card
b055,t26,p82,Rejected,2025-06-08,credit_card
b056,t15,p20,Cancelled,2025-07-02,credit_card
b057,t1,p12,Approved,2025-06-20,fpx
b058,t40,p28,Pending,2025-07-05,fpx
b059,t7,p86,Pending,2025-06-29,fpx
b060,t45,p78,Pending,2025-06-27,fpx
b061,t36,p65,Cancelled,2025-06-10,fpx
b062,t5,p82,Pending,2025-06-30,fpx
b063,t23,p99,Approved,2025-06-15,fpx
b064,t8,p93,Pending,2025-06-06,fpx
b065,t4,p56,Rejected,2025-06-08,fpx
b066,t4,p46,Rejected,2025-06-20,credit_card
b067,t41,p58,Rejected,2025-06-10,fpx
b068,t46,p54,Pending,2025-06-09,fpx
